document,summary
"Document 1","This is a summary of the first document. It discusses the impact of technology on education."
"Document 2","In this document, we explore the benefits of machine learning in various industries."
"Document 3","This summary highlights the importance of data privacy in the digital age."
"Document 4","An overview of the latest trends in artificial intelligence and their implications."
"Document 5","This document discusses climate change and its effects on global ecosystems."
"Document 6","A brief summary of recent advancements in natural language processing."
"Document 7","This document covers the significance of mental health awareness in society."
"Document 8","An exploration of renewable energy sources and their potential benefits."
"Document 9","This summary addresses the challenges of urbanization in modern cities."
"Document 10","A discussion on the role of social media in shaping public opinion."
